id,name,description,details
SYM-034,Incremental evolution is supported,The structure allows change in small safe steps rather than demanding broad rewrites for modest improvements.,"Healthy architecture supports small, reversible steps. If every improvement requires sweeping edits, the system becomes resistant to repair and modernization. In review, this is about changeability at module, boundary, and architectural level rather than only about local cleanliness. Strong signals are explicit dependencies, narrow interfaces, coherent module ownership, and boundaries that reflect real responsibilities in the system. Weak signals are reach-through access, policy mixed with mechanism, accidental framework-driven structure, and changes that would force broad unrelated edits. The educational point is that design quality shows up most clearly when requirements evolve or when one part of the system fails. For this specific symptom, the reviewer should ask whether the change makes 'Incremental evolution is supported' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-035,Extension points are deliberate,The system has explicit seams for likely variation instead of forcing invasive modification for every new need.,"Extension points should exist where variation is likely and stable enough to justify a seam. They should not require invasive surgery for every new behavior, nor sprawl prematurely across the design. In review, this is about changeability at module, boundary, and architectural level rather than only about local cleanliness. Strong signals are explicit dependencies, narrow interfaces, coherent module ownership, and boundaries that reflect real responsibilities in the system. Weak signals are reach-through access, policy mixed with mechanism, accidental framework-driven structure, and changes that would force broad unrelated edits. The educational point is that design quality shows up most clearly when requirements evolve or when one part of the system fails. For this specific symptom, the reviewer should ask whether the change makes 'Extension points are deliberate' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-036,Deletion is easy,"Dead code, outdated paths, and obsolete abstractions can be removed without fear of hidden dependency mines.","Deletion is a sign of design health. If obsolete code can be removed with confidence, the boundaries and dependencies are probably visible; if not, hidden coupling is likely too high. In review, this is about changeability at module, boundary, and architectural level rather than only about local cleanliness. Strong signals are explicit dependencies, narrow interfaces, coherent module ownership, and boundaries that reflect real responsibilities in the system. Weak signals are reach-through access, policy mixed with mechanism, accidental framework-driven structure, and changes that would force broad unrelated edits. The educational point is that design quality shows up most clearly when requirements evolve or when one part of the system fails. For this specific symptom, the reviewer should ask whether the change makes 'Deletion is easy' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-037,"Tests encode behavior, not implementation trivia",Tests describe externally meaningful promises rather than internal structure that should be free to change.,"Tests should protect behavior users and maintainers actually care about. Over-coupling tests to implementation detail makes refactoring expensive without increasing real confidence. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Tests encode behavior, not implementation trivia' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-038,Important invariants are tested,"Each important rule, guarantee, or failure mode has at least one test that would fail if the guarantee broke.","Important guarantees deserve direct evidence. The stronger the promise, the more the codebase should contain a test or check that would visibly fail if that promise stopped being true. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Important invariants are tested' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-039,Happy and unhappy paths are both tested,"Negative cases, edge cases, and misuse paths are intentionally exercised rather than left implicit.","Most failures do not happen on the ideal path. Good test suites make invalid input, edge cases, dependency errors, and misuse behavior explicit rather than assuming the happy path tells the whole story. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Happy and unhappy paths are both tested' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-040,Integration points are exercised realistically,"At least some tests cover real wiring between modules, adapters, and system boundaries.","Integration tests prove that individually sensible parts still work together when wiring, serialization, configuration, and infrastructure boundaries are involved. They catch a different class of defect than unit tests. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Integration points are exercised realistically' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-041,Tests are deterministic,"Test outcomes do not depend on timing luck, ordering accidents, external state, or flaky infrastructure.","Deterministic tests support trust in automation. Flaky tests train teams to ignore signals and make reviewers less willing to use the suite as evidence. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Tests are deterministic' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-042,Tests are readable,A reviewer can tell what behavior a test protects and why it matters.,"Readable tests act as executable documentation for behavior. A reviewer should be able to see what scenario is being protected, what outcome matters, and why that outcome is significant. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Tests are readable' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-043,Test setup is cheap to understand,"Creating the conditions for a test does not require navigating a maze of fixtures, mocks, or magical helpers.","Complicated fixtures and magical helpers obscure the actual behavior under test. Good test setup makes the relevant preconditions easy to see and minimizes incidental ceremony. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Test setup is cheap to understand' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-044,Over-mocking is avoided,Tests do not become brittle by asserting every internal interaction instead of meaningful outcomes.,"Mocking should isolate external concerns without turning tests into scripts of internal implementation steps. Over-mocking makes refactors painful and can create false confidence in brittle designs. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Over-mocking is avoided' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-045,Regression evidence exists,Changed behavior is backed by tests or checks that prove the intended effect and protect against relapse.,"A system learns from failure when regressions become tests, checks, or other durable evidence. That creates a memory of past mistakes inside the codebase rather than inside individual people. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Regression evidence exists' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-046,Manual-only verification is minimized,Important correctness claims are not left resting on ad hoc human checking when they could be mechanized.,"When verification can be automated, leaving it manual usually lowers repeatability and increases review burden. Manual checking still has a place, but high-value correctness claims should not depend on memory and patience alone. In review, this is about whether the codebase contains durable evidence for the behaviors it claims to protect. Strong signals are tests that map to meaningful invariants, cover important failure modes, and remain stable under refactoring. Weak signals are flaky tests, over-mocking, unreadable setup, or evidence that only checks implementation trivia rather than user-visible promises. The educational point is that tests are part of the design because they define what the system intends never to break. For this specific symptom, the reviewer should ask whether the change makes 'Manual-only verification is minimized' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-047,Local conventions are consistent across the codebase,"Similar problems are solved with the same naming, structure, documentation, and cross-cutting conventions so that a reviewer sees one coherent local style instead of competing patterns.","A healthy codebase develops a recognizable local grammar. Similar modules, APIs, and features should tend to use the same naming style, the same documentation habits, the same broad structural patterns, and the same conventions for repeated concerns such as validation, logging, tracing, auth, or typing. This does not mean every line must look identical. It means contributors should not repeatedly encounter multiple equally valid local dialects for the same kind of problem.

Strong signs include stable naming conventions, repeated solutions to repeated problems, alignment between code, tests, and documentation, and cross-cutting concerns handled through familiar patterns. Weak signs include several competing local styles for the same task, docs that teach one behavior while code implements another, inconsistent naming for the same concept, and ad hoc handling of recurring concerns depending on who last touched the file.

This symptom matters because consistency reduces cognitive load and improves review accuracy. When the codebase has one local grammar, readers can transfer understanding from one area to another. When it has many, every new file becomes a relearning exercise and defects hide in the gaps between styles. This row is about local coherence across repeated practices. Whole-system product coherence remains a separate concern."
SYM-048,Reviewers do not need tribal memory,Correctness does not depend heavily on undocumented norms that only long-time contributors know.,"Tribal knowledge is a hidden dependency. Good code and supporting artifacts expose the rules that matter so correctness does not depend on who happens to review the change. In review, this is about whether the codebase behaves like one system instead of a collection of local habits. Strong signals are repeated solutions to repeated problems, stable naming and error semantics, and cross-cutting concerns that follow shared rules. Weak signals are multiple local styles for the same problem, contradictory artifacts, and correctness that depends on knowing tribal lore. The educational point is that consistency reduces cognitive load and makes local review findings more trustworthy. For this specific symptom, the reviewer should ask whether the change makes 'Reviewers do not need tribal memory' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-049,Logs are structured and useful,Production logs carry useful context and machine-readable shape instead of noise or free-form guessing text.,"Useful logs capture enough structured context to support diagnosis and correlation without forcing operators to parse prose. They should help answer what happened, where, and under which identifiers or conditions. In review, this is about whether the running system will be diagnosable and truthful once it leaves the developer's machine. Strong signals are structured telemetry, useful identifiers, protected sensitive data, and runtime signals that reflect the system's real ability to do work. Weak signals are prose-only logging, noisy or incomplete diagnostics, superficial health checks, and missing visibility on critical paths. The educational point is that maintainability includes the ability to understand production behavior, not just source code structure. For this specific symptom, the reviewer should ask whether the change makes 'Logs are structured and useful' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-050,Diagnostics preserve signal,"Errors, traces, and metrics contain enough information to diagnose failures without drowning operators in clutter.","Diagnostics should preserve the information needed to understand failures, especially causal context, identifiers, and meaningful error boundaries. Too little signal and too much noise are both costly. In review, this is about whether the running system will be diagnosable and truthful once it leaves the developer's machine. Strong signals are structured telemetry, useful identifiers, protected sensitive data, and runtime signals that reflect the system's real ability to do work. Weak signals are prose-only logging, noisy or incomplete diagnostics, superficial health checks, and missing visibility on critical paths. The educational point is that maintainability includes the ability to understand production behavior, not just source code structure. For this specific symptom, the reviewer should ask whether the change makes 'Diagnostics preserve signal' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-051,Sensitive data is protected in telemetry,"Logs, traces, and messages do not leak secrets, private data, or unsafe internal detail.","Telemetry is part of the system's attack and privacy surface. Review should check that logs, traces, and errors do not expose credentials, personal data, or other sensitive internal detail. In review, this is about whether the running system will be diagnosable and truthful once it leaves the developer's machine. Strong signals are structured telemetry, useful identifiers, protected sensitive data, and runtime signals that reflect the system's real ability to do work. Weak signals are prose-only logging, noisy or incomplete diagnostics, superficial health checks, and missing visibility on critical paths. The educational point is that maintainability includes the ability to understand production behavior, not just source code structure. For this specific symptom, the reviewer should ask whether the change makes 'Sensitive data is protected in telemetry' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-052,Health signals reflect real health,Health endpoints and readiness checks reflect whether the service can actually perform its role.,"A health signal is only valuable if it reflects real ability to do useful work. Superficial liveness checks can create false confidence while critical dependencies are broken. In review, this is about whether the running system will be diagnosable and truthful once it leaves the developer's machine. Strong signals are structured telemetry, useful identifiers, protected sensitive data, and runtime signals that reflect the system's real ability to do work. Weak signals are prose-only logging, noisy or incomplete diagnostics, superficial health checks, and missing visibility on critical paths. The educational point is that maintainability includes the ability to understand production behavior, not just source code structure. For this specific symptom, the reviewer should ask whether the change makes 'Health signals reflect real health' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-053,Observability matches critical paths,The system emits signals around the behaviors that matter most to users and operators.,"Observability should follow user and operator pain, not just implementation convenience. Important journeys, failure modes, and bottlenecks should leave visible traces in the system's signals. In review, this is about whether the running system will be diagnosable and truthful once it leaves the developer's machine. Strong signals are structured telemetry, useful identifiers, protected sensitive data, and runtime signals that reflect the system's real ability to do work. Weak signals are prose-only logging, noisy or incomplete diagnostics, superficial health checks, and missing visibility on critical paths. The educational point is that maintainability includes the ability to understand production behavior, not just source code structure. For this specific symptom, the reviewer should ask whether the change makes 'Observability matches critical paths' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-054,Security boundaries are explicit,"Trust levels, privilege transitions, and sensitive operations are visible in the design and code paths.","Security boundaries separate trust zones, privileges, and sensitive operations. Maintainable secure code makes these boundaries explicit so reviewers can see where stronger checks are required. In review, this is about how the code treats trust, privilege, secrets, and untrusted input. Strong signals are explicit trust boundaries, least privilege, safe defaults, and data handling that is minimal and auditable. Weak signals are embedded credentials, casual exposure of sensitive data, weak validation, and code paths whose security depends on convention rather than structure. The educational point is that secure design is part of normal code quality because unsafe code is inherently harder to change and reason about. For this specific symptom, the reviewer should ask whether the change makes 'Security boundaries are explicit' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-055,Least privilege is followed,"Code, services, and components operate with the minimum permissions they need.","Least privilege limits the damage of mistakes and compromise. Components should receive only the access they need, and reviewers should be able to see that access decisions are deliberate. In review, this is about how the code treats trust, privilege, secrets, and untrusted input. Strong signals are explicit trust boundaries, least privilege, safe defaults, and data handling that is minimal and auditable. Weak signals are embedded credentials, casual exposure of sensitive data, weak validation, and code paths whose security depends on convention rather than structure. The educational point is that secure design is part of normal code quality because unsafe code is inherently harder to change and reason about. For this specific symptom, the reviewer should ask whether the change makes 'Least privilege is followed' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-056,Secrets are not embedded,"Credentials, tokens, keys, and sensitive configuration are not hard-coded into source or artifacts.","Secrets in source tend to spread into history, logs, screenshots, and local clones. Good systems externalize secrets and handle them through safer configuration and secret-management mechanisms. In review, this is about how the code treats trust, privilege, secrets, and untrusted input. Strong signals are explicit trust boundaries, least privilege, safe defaults, and data handling that is minimal and auditable. Weak signals are embedded credentials, casual exposure of sensitive data, weak validation, and code paths whose security depends on convention rather than structure. The educational point is that secure design is part of normal code quality because unsafe code is inherently harder to change and reason about. For this specific symptom, the reviewer should ask whether the change makes 'Secrets are not embedded' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-057,Data exposure is minimized,"The system only collects, stores, returns, and retains what is needed for its legitimate purpose.","Data minimization reduces security, privacy, and maintenance cost. Keeping only the data the system needs lowers exposure and makes compliance and deletion easier. In review, this is about how the code treats trust, privilege, secrets, and untrusted input. Strong signals are explicit trust boundaries, least privilege, safe defaults, and data handling that is minimal and auditable. Weak signals are embedded credentials, casual exposure of sensitive data, weak validation, and code paths whose security depends on convention rather than structure. The educational point is that secure design is part of normal code quality because unsafe code is inherently harder to change and reason about. For this specific symptom, the reviewer should ask whether the change makes 'Data exposure is minimized' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-058,Sensitive actions are auditable,Important security or privacy-relevant events can be traced after the fact.,"Auditability matters when actions affect security, money, privacy, or trust. The code should leave enough evidence to reconstruct what happened and who or what triggered it. In review, this is about how the code treats trust, privilege, secrets, and untrusted input. Strong signals are explicit trust boundaries, least privilege, safe defaults, and data handling that is minimal and auditable. Weak signals are embedded credentials, casual exposure of sensitive data, weak validation, and code paths whose security depends on convention rather than structure. The educational point is that secure design is part of normal code quality because unsafe code is inherently harder to change and reason about. For this specific symptom, the reviewer should ask whether the change makes 'Sensitive actions are auditable' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-059,Unsafe defaults are avoided,"The easiest path through the code does not accidentally produce insecure, destructive, or privacy-harming behavior.","Defaults shape the behavior most users and maintainers will get. Safe defaults make the easiest path the least dangerous one, especially for destructive, public, or security-sensitive features. In review, this is about how the code treats trust, privilege, secrets, and untrusted input. Strong signals are explicit trust boundaries, least privilege, safe defaults, and data handling that is minimal and auditable. Weak signals are embedded credentials, casual exposure of sensitive data, weak validation, and code paths whose security depends on convention rather than structure. The educational point is that secure design is part of normal code quality because unsafe code is inherently harder to change and reason about. For this specific symptom, the reviewer should ask whether the change makes 'Unsafe defaults are avoided' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-060,Accessibility is considered in user-facing paths,"User-visible outputs, flows, and interfaces do not casually exclude people through avoidable design choices.","Accessibility review checks whether user-facing behavior excludes people through avoidable assumptions about perception, input method, timing, wording, or semantics. It is part of product quality, not just visual polish. In review, this is about whether quality is defined broadly enough to include the people who must use, read, or depend on the system. Strong signals are wording and behavior that are precise, respectful, and accessible without unnecessary assumptions. Weak signals are exclusionary terminology, user-facing flows that presume one kind of user, or semantics that make correct use harder for part of the audience. The educational point is that maintainable systems do not externalize avoidable difficulty onto users. For this specific symptom, the reviewer should ask whether the change makes 'Accessibility is considered in user-facing paths' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-061,Inclusive language is used,"Naming, docs, messages, and user-facing outputs avoid unnecessary exclusionary or misleading language.","Inclusive language avoids unnecessary exclusion or harmful ambiguity in names, docs, and user-facing messages. It also improves clarity by choosing precise and respectful terms. In review, this is about whether quality is defined broadly enough to include the people who must use, read, or depend on the system. Strong signals are wording and behavior that are precise, respectful, and accessible without unnecessary assumptions. Weak signals are exclusionary terminology, user-facing flows that presume one kind of user, or semantics that make correct use harder for part of the audience. The educational point is that maintainable systems do not externalize avoidable difficulty onto users. For this specific symptom, the reviewer should ask whether the change makes 'Inclusive language is used' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-062,Evidence backs correctness claims,"Assertions that something works are supported by checks, tests, logs, traces, commands, or measurable evidence.","Claims about correctness should be backed by something inspectable: tests, checks, metrics, logs, traces, or reproducible commands. Evidence lowers the amount of trust a reviewer must supply personally. In review, this is about whether the codebase makes its own reasoning inspectable from evidence, boundaries, and structural cues. Strong signals are explicit assumptions, discoverable architectural intent, stable ownership, and interfaces that preserve domain meaning across boundaries. Weak signals are hidden sources of truth, accidental drift, undocumented structural constraints, and claims that rely on personal trust instead of inspectable proof. The educational point is that a codebase should teach maintainers how it is meant to work, not force them to rediscover that from history. For this specific symptom, the reviewer should ask whether the change makes 'Evidence backs correctness claims' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-063,"Assumptions, intent, and structural decisions are explicit","The code and its surrounding artifacts make assumptions, change intent, and important architectural decisions visible enough that reviewers and future maintainers do not have to reconstruct them from guesswork.","Software becomes expensive to maintain when key reasoning is trapped in someone's head or in an old conversation. Labeling assumptions, making change intent reviewable, and surfacing architectural decisions belong together because they all reduce invisible policy. They help a reviewer answer three basic questions: what does this change assume, what is it trying to accomplish, and what larger structural choice does it depend on or introduce.

Strong signs include explicit notes where assumptions materially affect correctness, commit or change context that explains why a shape was chosen, and discoverable records or code-level signals for decisions that constrain later design. Weak signs include code that only makes sense if the reader already knows unstated operational facts, structural changes with no visible rationale, and diffs that provide no clue which behavior is being protected or traded away.

This symptom matters because clarity of reasoning is part of maintainability. Future reviewers should not be forced to infer every hidden premise from implementation details alone. Review this lens by asking whether the change teaches the next engineer how to reason about it, or whether it hides assumptions and design intent behind local code that only appears obvious right now."
SYM-064,Architectural integrity is preserved across domains and interfaces,"The architecture keeps a clear organizing principle, respects domain boundaries, preserves intent across APIs and integrations, resists drift, enforces system-wide rules structurally, and remains organized around domain meaning rather than utility sprawl.","Architectural integrity is the property that lets a large system still feel like one designed thing instead of a pile of locally reasonable edits. A clear center of gravity, respected bounded contexts, intent-preserving APIs, stable integration contracts, resistance to drift, structural enforcement of system-wide rules, and organization around domain rules all belong to one lens because they determine whether the architecture keeps teaching the same story as the codebase grows.

Strong signs include an obvious organizing principle for where behavior belongs; domain concepts that stay within their own context unless explicitly translated; APIs and service boundaries that expose business meaning instead of database or transport leakage; integrations that remain stable unless a real contract change has occurred; conventions enforced through types, tests, generators, templates, or architecture rather than mere style guidance; and code organization dominated by capabilities and domain rules rather than a sprawling helper layer. Weak signs include context leakage, adapters that expose storage detail as public contract, recurring structural exceptions, silent erosion of intended layering, and utility modules that become the real center of gravity of the system.

This symptom matters because architecture usually fails gradually. A single change rarely destroys it, but many small changes can make the structure stop reflecting the domain. Review this lens by asking whether the change strengthens or weakens the long-running integrity of the system's organizing principles and interface boundaries. A poor score here suggests that local convenience is winning over architectural coherence."
SYM-065,Data ownership is clear,It is obvious which component or service is authoritative for a given piece of data or business rule.,"Clear data ownership prevents competing sources of truth. Reviewers should be able to tell which component governs a datum or rule and which others merely consume or replicate it. In review, this is about whether the codebase makes its own reasoning inspectable from evidence, boundaries, and structural cues. Strong signals are explicit assumptions, discoverable architectural intent, stable ownership, and interfaces that preserve domain meaning across boundaries. Weak signals are hidden sources of truth, accidental drift, undocumented structural constraints, and claims that rely on personal trust instead of inspectable proof. The educational point is that a codebase should teach maintainers how it is meant to work, not force them to rediscover that from history. For this specific symptom, the reviewer should ask whether the change makes 'Data ownership is clear' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-066,The system is resilient to partial failure,"Dependency failure, timeout, bad input, and degraded subsystems do not cause disproportionate collapse.","Partial failure resilience means the system can degrade, retry, isolate, or recover without turning every dependency issue into a full outage or corrupt state. This is both an architectural and code-level quality concern. In review, this is about whether the system can survive evolution, skew, retries, failures, and operational reality without losing coherence. Strong signals are deliberate recovery stories, compatibility-aware boundaries, reproducible delivery, navigable structure, and interfaces that make correct use easier than misuse. Weak signals are brittle migrations, unexamined version skew, hidden build assumptions, and local shortcuts that quietly increase long-term coupling. The educational point is that maintainability is proven over time, especially when the system is under stress or in transition. For this specific symptom, the reviewer should ask whether the change makes 'The system is resilient to partial failure' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-067,Recovery paths are intentional,"Restart, retry, replay, rollback, and repair stories exist where the domain requires them.","Recovery paths are part of maintainability because broken systems must be repairable. Review should ask whether replay, rollback, retry, restart, or manual recovery are possible where the domain needs them. In review, this is about whether the system can survive evolution, skew, retries, failures, and operational reality without losing coherence. Strong signals are deliberate recovery stories, compatibility-aware boundaries, reproducible delivery, navigable structure, and interfaces that make correct use easier than misuse. Weak signals are brittle migrations, unexamined version skew, hidden build assumptions, and local shortcuts that quietly increase long-term coupling. The educational point is that maintainability is proven over time, especially when the system is under stress or in transition. For this specific symptom, the reviewer should ask whether the change makes 'Recovery paths are intentional' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-068,Data migrations are survivable,Schema and data evolution are designed to happen safely across versions and deployments.,"Safe migration design matters wherever data schemas, state machines, or distributed contracts evolve over time. A maintainable system can move from old to new without trapping operators in unsafe all-at-once transitions. In review, this is about whether the system can survive evolution, skew, retries, failures, and operational reality without losing coherence. Strong signals are deliberate recovery stories, compatibility-aware boundaries, reproducible delivery, navigable structure, and interfaces that make correct use easier than misuse. Weak signals are brittle migrations, unexamined version skew, hidden build assumptions, and local shortcuts that quietly increase long-term coupling. The educational point is that maintainability is proven over time, especially when the system is under stress or in transition. For this specific symptom, the reviewer should ask whether the change makes 'Data migrations are survivable' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
